codigo,nome_profissao
223101,Médico Acupunturista
223102,Médico Alergista e Imunologista
223103,Médico Anatomopatologista Patologista
223105,Médico Angiologista
2231A1,Médico Broncoesofalogista
223106,Médico Cardiologista  Médico do Coração
223107,Médico Cirurgião Cardiovascular
223108,Médico Cirurgião de cabeça e pescoço
223109,Médico Cirurgião do Aparelho Digestivo
223111,Médico Cirurgião Pediátrico
223112,Médico Cirurgião Plástico
223113,Médico Cirurgião Torácico
2231F3,Médico Cirurgião Vascular
223114,Médico Citopatologista
223117,Médico Dermatologista Dermat Hansenólogo
223118,Médico do Trabalho
223119,Médico em Eletroencefalografia
223120,Médico em Endoscopia  Endoscopista
223121,Médico em Medicina de Tráfego
223122,Médico em Medicina Intensiva Ceteísta
223123,Médico em Medicina Nuclear
223125,Médico Endocrinologista Metabologista Dia
223126,Médico Fisiatra
223127,Médico Foniatra
223128,Médico Gastroenterologista
223130,Médico Geneticista
223131,Médico Geriatra
2231A2,Médico Hansenologista
223133,Médico Hematologista  Hematologista
223134,Médico Hemoterapeuta  Hemoterapeuta Médic
223135,Médico Homeopata
223136,Médico Infectologista  Infectologista Méd
223137,Médico Legista
223138,Médico Mastologista  Cirurgião de Mama
223139,Médico Nefrologista  Nefrologista
223140,Médico NeuroCirurgião  Neurocir Pediátric
223141,Médico Neurofisiologista Neurofis Pediátr
223142,Médico Neurologista  Médico Neuropediatra
223143,Médico Nutrologista  Médico Nutrólogo Nut
223144,Médico Oftalmologista  Cirurgião Oftalmol
223145,Médico Oncologista  Cancerologista
2231F5,Médico Oncologista Cirúrgico
2231F4,Médico Oncologista Pediátrico
223146,Médico Ortopedista e Traumatologista
223147,Médico Otorrinolaringologista Cir Otorrin
223148,Médico Patologista Clínico  Médico Labora
223150,Médico Perito  Perito Médico
223151,Médico Pneumologista  Médico Pneumotisiol
223152,Médico Proctologista  Cirurgião Proctolog
223154,Médico Radioterapeuta  Médico em Radioter
223155,Médico Reumatologista  Reumatologista
223157,Médico Urologista  Andrologista Cir Urolo
223153,Médico Psiquiatra Médico Psicanalista
223124,Médico em Radiologia e diagnóstico Imagem
223156,Médico Sanitarista Epidemiologista Higien
223132,Médico Ginecologista Obstetra Cir
223116,Médico de Saúde da Família Médico Comunit
223110,Médico Cirurgião Geral
223115,Médico Clínico
223129,Médico Generalista Alopata
223104,Médico Anestesiologista
2231F9,MEDICO RESIDENTE
